Date,AAPL,GOOG,MSFT
2016-03-08,22.98104858,34.57427597,45.79418564
2016-03-09,23.00152588,35.13575745,46.84926224
2016-03-10,23.01288986,35.5133934,46.1488266
2016-03-11,23.26083183,36.21089172,47.05319214
2016-03-14,23.31996918,36.39373779,47.14185333
2016-03-15,23.78855705,36.28612137,47.51423645
2016-03-16,24.10473442,36.67273331,48.18806839
2016-03-17,24.06607246,36.7569313,48.4629364
2016-03-18,24.09336472,36.74795914,47.42557144
2016-03-21,24.09108925,36.97166061,47.75364304
2016-03-22,24.27534294,36.90489578,47.93981552
2016-03-23,24.14113235,36.77087784,47.85116577
2016-03-24,24.03649712,36.63337326,48.06394196
2016-03-28,23.92731285,36.54518509,47.46990967
2016-03-29,24.49370956,37.10517883,48.507267
2016-03-30,24.92134857,37.39214706,48.80870819
2016-03-31,24.79169273,37.11414719,48.96830368
2016-04-01,25.01915741,37.36125565,49.26976395
2016-04-04,25.27619553,37.13108444,49.14564514
2016-04-05,24.97821617,36.75792313,48.37425995
2016-04-06,25.23980141,37.15101242,48.87078476
2016-04-07,24.68933296,36.88147736,48.28560257
2016-04-08,24.71663284,36.82518387,48.25014114
2016-04-11,24.79851151,36.67322922,48.15261841
2016-04-12,25.12151718,37.02148056,48.45406723
2016-04-13,25.485466,37.45143127,49.07469559
2016-04-14,25.49911308,37.52516556,49.08356857
2016-04-15,24.98731804,37.81412888,49.34067535
2016-04-18,24.44821358,38.19326782,50.05885696
2016-04-19,24.31855202,37.56153488,49.99678802
2016-04-20,24.36860085,37.49876404,49.28748703
2016-04-21,24.10473442,37.82110596,49.45595932
2016-04-22,24.03877258,35.80983353,45.90945435
2016-04-25,23.90229416,36.02804565,46.20202637
2016-04-26,23.73623466,35.28023911,45.60800552
2016-04-27,22.25087547,35.1656456,45.1646843
2016-04-28,21.570755,34.42729568,44.24259186
2016-04-29,21.32280922,34.5264473,44.21600342
2016-05-02,21.30006218,34.78551102,44.87210083
2016-05-03,21.65036201,34.4940567,44.13619995
2016-05-04,21.42516708,34.66046143,44.21600342
2016-05-05,21.33820534,34.9459343,44.27805328
2016-05-06,21.21920586,35.42870331,44.67703629
2016-05-09,21.23522758,35.51738358,44.39332581
2016-05-10,21.37939835,36.02954483,45.23561859
2016-05-11,21.17114639,35.63645554,45.26221085
2016-05-12,20.67453384,35.53781128,45.67006683
2016-05-13,20.71572876,35.41425705,45.28881454
2016-05-16,21.48467445,35.69623947,45.95376968
2016-05-17,21.39541626,35.18507767,45.09666443
2016-05-18,21.6402874,35.20500565,45.36451721
2016-05-19,21.5579052,34.89063644,44.92702484
2016-05-20,21.79133987,35.3599472,45.19488525
2016-05-23,22.06824303,35.08593369,44.66810989
2016-05-24,22.40465355,35.87559891,46.06092834
2016-05-25,22.79828453,36.13367081,46.53411102
2016-05-26,22.97908401,36.07637787,46.3287735
2016-05-27,22.96533966,36.5018425,46.71268845
2016-05-31,22.85320854,36.65429688,47.31980515
2016-06-01,22.53281021,36.57608032,47.18587494
2016-06-02,22.36346245,36.38924789,46.85553741
2016-06-03,22.409235,35.98768997,46.23949432
2016-06-06,22.57171631,35.69923019,46.54303741
2016-06-07,22.6632576,35.70421219,46.51625061
2016-06-08,22.64266777,36.28363037,46.46269608
2016-06-09,22.80515099,36.29858017,46.08771133
2016-06-10,22.61749268,35.84172058,45.96271515
2016-06-13,22.2765007,35.78940582,44.76633453
2016-06-14,22.30395889,35.78492355,44.48955154
2016-06-15,22.23073006,35.8173027,44.36453629
2016-06-16,22.32456398,35.39084244,44.98951721
2016-06-17,21.81650543,34.46217346,44.75740433
2016-06-20,21.76387215,34.56131744,44.70383072
2016-06-21,21.94924164,34.67241669,45.7038002
2016-06-22,21.86685562,34.74814987,45.52523422
2016-06-23,21.99271965,34.96785736,46.34661484
2016-06-24,21.37481499,33.64012909,44.48955154
2016-06-27,21.06358337,33.29337311,43.23958588
2016-06-28,21.41830635,33.88026428,44.14133835
2016-06-29,21.60367966,34.08303833,45.1234436
2016-06-30,21.87829208,34.48110199,45.68593597
2016-07-01,21.94466972,34.83533478,45.67700577
2016-07-05,21.73869514,34.62309647,45.68593597
2016-07-06,21.86227608,34.76359177,45.87342453
2016-07-07,21.95611382,34.64352417,45.87342453
2016-07-08,22.12545967,35.1551857,46.69483185
2016-07-11,22.1941185,35.62649155,46.95374298
2016-07-12,22.29480934,35.90299606,47.5072937
2016-07-13,22.16894341,35.72065353,47.77514648
2016-07-14,22.60833549,35.91844177,47.98048782
2016-07-15,22.60604858,35.86363602,47.94478607
2016-07-18,22.84634781,36.55764389,48.17693329
2016-07-19,22.85549736,36.7160759,47.40016556
2016-07-20,22.8760891,36.92681885,49.91793442
2016-07-21,22.7548027,36.79927444,49.81972504
2016-07-22,22.57859612,37.00404358,50.50719452
2016-07-25,22.2765007,36.85607147,50.6500473
2016-07-26,22.12317085,36.78881454,50.67683029
2016-07-27,23.56036186,36.95571136,50.1679306
2016-07-28,23.87847328,37.16197586,50.18578339
2016-07-29,23.84871292,38.30187607,50.60541153
2016-08-01,24.26981354,38.50564194,50.51612091
2016-08-02,23.91050911,38.41546631,50.51612091
2016-08-03,24.21030426,38.52059174,50.86432648
2016-08-04,24.35986328,38.44237137,51.23931122
2016-08-05,24.73031425,38.97097015,51.74822617
2016-08-08,24.93509483,38.94805527,51.83750534
2016-08-09,25.03633308,39.07260895,51.96250153
2016-08-10,24.84995842,39.09353638,51.8018074
2016-08-11,24.83385658,39.10200119,52.05178452
2016-08-12,24.8913765,39.02079391,51.73036575
2016-08-15,25.19050217,38.98193741,51.89107132
2016-08-16,25.1674881,38.71788025,51.6035881
2016-08-17,25.13067627,38.85588455,51.71139908
2016-08-18,25.09846306,38.73582077,51.74733353
2016-08-19,25.16288757,38.63219452,51.76530075
2016-08-22,24.96730804,38.46927261,51.81021118
2016-08-23,25.04554176,38.46578598,52.00787735
2016-08-24,24.85686684,38.34422302,52.06177139
2016-08-25,24.75102425,38.33276749,52.25941849
2016-08-26,24.60606575,38.33924484,52.1336441
2016-08-29,24.57844925,38.46927261,52.1965332
2016-08-30,24.38978195,38.31682587,52.00787735
2016-08-31,24.41278648,38.21519089,51.62155914
2016-09-01,24.55774307,38.30137634,51.73835373
2016-09-02,24.78783607,38.43490219,51.81021118
2016-09-06,24.78093147,38.86435699,51.75632095
2016-09-07,24.93279457,38.87781143,51.80122757
2016-09-08,24.2793293,38.6272049,51.59461594
2016-09-09,23.72941589,37.84701157,50.49858093
2016-09-12,24.26093292,38.31333923,51.25322342
2016-09-13,24.8384552,37.84851074,50.78606033
2016-09-14,25.71740341,37.98800278,50.54348755
2016-09-15,26.59175682,38.44984818,51.3789978
2016-09-16,26.44220161,38.30636215,51.43289948
2016-09-19,26.13387871,38.14793015,51.14542007
2016-09-20,26.13157463,38.43240738,51.03761292
2016-09-21,26.12697411,38.67205048,51.8910675
2016-09-22,26.37317085,39.21957779,51.94498825
2016-09-23,25.93369484,39.20413971,51.59461594
2016-09-26,25.97281075,38.57190704,51.11845779
2016-09-27,26.02113152,39.01033401,52.06177139
2016-09-28,26.2190094,38.93809128,52.1336441
2016-09-29,25.8117466,38.61176682,51.56765366
2016-09-30,26.01192284,38.72535324,51.74733353
2016-10-03,25.88997841,38.48970032,51.58562851
2016-10-04,26.00042534,38.68251038,51.42391205
2016-10-05,26.01192284,38.68450165,51.78327179
2016-10-06,26.20521164,38.7039299,51.87311554
2016-10-07,26.24432182,38.61525345,51.92700195
2016-10-10,26.70220184,39.15630722,52.14263535
2016-10-11,26.75972748,39.01332092,51.3789978
2016-10-12,26.99902153,39.16627121,51.30712128
2016-10-13,26.91618729,38.77019501,51.13642883
2016-10-14,27.06575012,38.78713226,51.58562851
2016-10-17,27.04733849,38.85837936,51.40595245
2016-10-18,27.02893639,39.6206398,51.80122757
2016-10-19,26.9484024,39.93152237,51.68445587
2016-10-20,26.93459892,39.70583344,51.43289948
2016-10-21,26.82875443,39.82540131,53.59802246
2016-10-24,27.07034683,40.5099411,54.80187225
2016-10-25,27.20840454,40.2389183,54.79288483
2016-10-26,26.59635925,39.81045532,54.46945572
2016-10-27,26.34095764,39.62512589,53.99330902
2016-10-28,26.16609001,39.62612152,53.78668213
2016-10-31,26.12467575,39.0865593,53.83160019
2016-11-01,25.65299034,39.04022217,53.72379303
2016-11-02,25.67598724,38.2973938,53.39138412
2016-11-03,25.40077782,37.97006989,53.19374847
2016-11-04,25.17181587,37.96458817,52.74453354
2016-11-07,25.53491592,38.98591995,54.2808075
2016-11-08,25.68524551,39.38399124,54.32571793
2016-11-09,25.64361,39.12491608,54.05620575
2016-11-10,24.92897224,37.99148941,52.73556137
2016-11-11,25.07699203,37.56602097,53.02304459
2016-11-14,24.44792747,36.67223358,52.21450424
2016-11-15,24.77171135,37.78872299,53.24559021
2016-11-16,25.43777847,38.08714676,53.95105743
2016-11-17,25.42852783,38.42344284,54.84647369
2016-11-18,25.45396996,37.89085388,54.58419418
2016-11-21,25.84019852,38.32230377,55.04545975
2016-11-22,25.85638237,38.27597427,55.28061676
2016-11-23,25.72456169,37.91327286,54.62940598
2016-11-25,25.85406876,37.94764709,54.74698639
2016-11-28,25.80320168,38.27447128,54.81934738
2016-11-29,25.77775192,38.40401077,55.25348282
2016-11-30,25.56035423,37.7663002,54.50278854
2016-12-01,25.32214546,37.26211166,53.54406738
2016-12-02,25.41696739,37.3906517,53.58927536
2016-12-05,25.23425865,37.98950195,54.46660995
2016-12-06,25.42852783,37.8196106,54.22240829
2016-12-07,25.67830849,38.42144775,55.50673294
2016-12-08,25.9303894,38.68201065,55.18113327
2016-12-09,26.35362434,39.32320786,56.04939651
2016-12-12,26.20329666,39.32221603,56.2303009
2016-12-13,26.64040375,39.66248703,56.96291351
2016-12-14,26.64040375,39.71081543,56.69157791
2016-12-15,26.7861042,39.74967575,56.60112
2016-12-16,26.82078934,39.39844131,56.3478775
2016-12-19,26.97574234,39.56782913,57.54177475
2016-12-20,27.04744339,39.67843246,57.46941376
2016-12-21,27.07288551,39.58576584,57.46941376
2016-12-22,26.894804,39.4213562,57.47846222
2016-12-23,26.94800186,39.35409546,57.19807053
2016-12-27,27.11914444,39.43580627,57.23424911
2016-12-28,27.0035038,39.11196518,56.97196198
2016-12-29,26.99656296,38.99937439,56.89055252
2016-12-30,26.7861042,38.45283508,56.20316315
2017-01-03,26.86242485,39.16627121,56.60112
2017-01-04,26.83235931,39.20413971,56.3478775
2017-01-05,26.96880531,39.55886078,56.3478775
2017-01-06,27.2694664,40.16318512,56.83629608
2017-01-09,27.51923943,40.18809891,56.65539932
2017-01-10,27.54700089,40.09543228,56.63731003
2017-01-11,27.69501305,40.25087357,57.15284348
2017-01-12,27.57937622,40.17364883,56.6282692
2017-01-13,27.53080559,40.24938202,56.70967484
2017-01-17,27.75283432,40.08646393,56.55590057
2017-01-18,27.75051117,40.15920639,56.52878189
2017-01-19,27.70195198,39.96515274,56.3478775
2017-01-20,27.75283432,40.10688782,56.74584579
2017-01-23,27.77133179,40.8188324,56.94482422
2017-01-24,27.74588966,41.04602051,57.45132065
2017-01-25,28.18762207,41.6339035,57.59605026
2017-01-26,28.20149994,41.45853424,58.12966156
2017-01-27,28.20381355,41.018116,59.49540329
2017-01-30,28.12980652,39.97237396,58.90749741
2017-01-31,28.0650444,39.69686508,58.47335815
2017-02-01,29.77647018,39.6423111,57.50558472
2017-02-02,29.72559929,39.78355026,57.134758
2017-02-03,29.85279465,39.93102646,57.59605026
2017-02-06,30.13263321,39.92355347,57.55985641
2017-02-07,30.41941643,40.20404053,57.36991501
2017-02-08,30.53735924,40.27428818,57.28852081
2017-02-09,30.75802231,40.33308029,57.93972778
2017-02-10,30.6883316,40.5378418,57.88547134
2017-02-13,30.96009827,40.81534958,58.53667831
2017-02-14,31.36193848,40.87563324,58.75505066
2017-02-15,31.47575569,40.80239487,58.71866608
2017-02-16,31.43859673,41.06046677,58.70955276
2017-02-17,31.52453613,41.25526428,58.80056
2017-02-21,31.75218391,41.43412399,58.68226242
2017-02-22,31.84739113,41.38928223,58.56397247
2017-02-23,31.71268272,41.41768265,58.80056
2017-02-24,31.74287796,41.28366089,58.80056
2017-02-27,31.80559158,41.31554794,58.44568253
2017-02-28,31.81952477,41.01313782,58.21819687
2017-03-01,32.46989822,41.61248398,59.0917511
2017-03-02,32.27711487,41.38280869,58.24548721
2017-03-03,32.46757126,41.30558395,58.46388245
2017-03-06,32.36536789,41.24081802,58.48207092
2017-03-07,32.40718842,41.44657898,58.60038757
2017-03-08,32.28639603,41.61896515,59.13724899
2017-03-09,32.21207428,41.78385925,58.90065384
2017-03-10,32.31891632,42.01154709,59.0826416
2017-03-13,32.3328476,42.12563705,58.88245392
2017-03-14,32.28407288,42.12962341,58.609478
2017-03-15,32.62552643,42.20834351,58.91885757
2017-03-16,32.67894363,42.28705597,58.81874847
2017-03-17,32.51635361,42.45345688,59.02805328
2017-03-20,32.85780716,42.26812363,59.0826416
2017-03-21,32.48152161,41.37433624,58.42747498
2017-03-22,32.84851074,41.33099365,59.17362976
2017-03-23,32.73236465,40.73264313,59.02805328
2017-03-24,32.66733932,40.57570648,59.12814331
2017-03-27,32.72307968,40.8288002,59.23733139
2017-03-28,33.40133286,40.89905167,59.4102211
2017-03-29,33.4756546,41.42166901,59.57400894
2017-03-30,33.43153,41.42615128,59.7923851
2017-03-31,33.36880112,41.32950211,59.92888641
2017-04-03,33.37810516,41.77738953,59.64682007
2017-04-04,33.62664032,41.57910156,59.81061935
2017-04-05,33.4524231,41.42166901,59.65589905
2017-04-06,33.36880112,41.24580383,59.81061935
2017-04-07,33.294487,41.08587646,59.7651062
2017-04-10,33.25499344,41.08886337,59.6286087
2017-04-11,32.89728928,41.02011108,59.58311462
2017-04-12,32.93677139,41.06843567,59.35563278
2017-04-13,32.76257324,41.0305748,59.10083389
2017-04-17,32.94374466,41.70864105,59.58311462
2017-04-18,32.79740524,41.69120026,59.50121689
2017-04-19,32.67661285,41.76044846,59.18273163
2017-04-20,33.08543396,41.93183136,59.60131454
2017-04-21,33.04595184,42.00856018,60.4202652
2017-04-24,33.36415863,42.98355865,61.44850922
2017-04-25,33.57089233,43.45884705,61.8033638
2017-04-26,33.37345123,43.43045044,61.72149658
2017-04-27,33.39900208,43.55599976,62.12187576
2017-04-28,33.3664856,45.1358223,62.29475021
2017-05-01,34.04705048,45.4651413,63.1591835
